Interval,Top Keyword,Count,sentiment
2011Q1,Nuclear,6,neutral
2011Q1,Wisconsin,6,neutral
2011Q1,Syria,6,neutral
2011Q1,Arizona,5,neutral
2011Q1,Jordan,5,neutral
2011Q1,Forces,5,neutral
2011Q1,Middle,5,neutral
2011Q1,Iraq,4,neutral
2011Q1,York,4,neutral
2011Q1,Sudan,4,neutral
2011Q1,White,4,neutral
2011Q1,Man,4,neutral
2011Q1,Time,4,neutral
2011Q1,Ivory,4,neutral
2011Q1,Coast,4,neutral
2011Q1,Union,4,neutral
2011Q1,News,4,neutral
2011Q1,Tokyo,4,neutral
2011Q1,NATO,4,neutral
2011Q1,Alzheimer,3,neutral
2011Q1,Earth,3,neutral
2011Q1,Brown,3,neutral
2011Q1,Play,3,neutral
2011Q1,South,3,neutral
2011Q1,Gun,3,neutral
2011Q1,Bill,3,neutral
2011Q1,Lebanon,3,neutral
2011Q1,Chairman,3,neutral
2011Q1,Life,3,neutral
2011Q1,Israel,3,neutral
2011Q2,Pro,28,neutral
2011Q2,Syria,24,neutral
2011Q2,NATO,20,neutral
2011Q2,Bin,20,neutral
2011Q2,Pakistan,16,neutral
2011Q2,Yemen,15,neutral
2011Q2,Led,15,neutral
2011Q2,New,11,neutral
2011Q2,Libya,10,neutral
2011Q2,Coast,9,neutral
2011Q2,Ivory,8,neutral
2011Q2,Japan,8,neutral
2011Q2,China,7,neutral
2011Q2,York,7,neutral
2011Q2,Tor,7,neutral
2011Q2,Taliban,7,neutral
2011Q2,Marriage,7,neutral
2011Q2,France,6,neutral
2011Q2,President,6,neutral
2011Q2,The,5,neutral
2011Q2,Time,5,neutral
2011Q2,Con,5,neutral
2011Q2,Military,5,neutral
2011Q2,Col,5,neutral
2011Q2,Syrian,5,neutral
2011Q2,Turkey,5,neutral
2011Q2,Missouri,5,neutral
2011Q2,Nuclear,4,neutral
2011Q2,Arizona,4,neutral
2011Q2,Gaza,4,neutral
2011Q2,City,4,neutral
